212F30	3007
213F3F	6191
213F40	618E
213F41	61AB
213F42	61A4
213F43	61AC
213F44	619A
213F45	61A9
213F46	6194
213F47	618A
213F48	61B6
213F49	61CD
213F4A	61C9
213F4B	6190
213F4C	61BE
213F4D	61C2
213F4E	61C7
213F4F	61C8
213F50	61CA
213F51	61E3
213F52	61E6
213F53	61F2
213F54	61F7
213F55	61F6
213F56	61F8
213F57	61F5
213F58	61FA
213F59	61FE
213F5A	61FF
213F5B	61FC
213F5C	6200
213F5D	6208
213F5E	620A
213F5F	620E
213F60	620D
213F61	620C
213F62	6210
213F63	6212
213F64	6211
213F65	6216
213F66	6215
213F67	621B
213F68	621A
213F69	621F
213F6A	6221
213F6B	6222
213F6C	622A
213F6D	622E
213F6E	6230
213F6F	6232
213F70	6234
213F71	6233
213F72	6236
213F73	623F
213F74	623E
213F75	6240
213F76	6241
213F78	6248
213F79	6249
213F7A	624B
213F7D	6253
213F7E	6254
214021	6252
214022	625B
214023	6263
214024	6258
214025	6296
214026	6297
214027	6292
214028	6276
214029	6289
21402A	627F
21402B	6279
21402C	6280
21402D	628A
21402E	626D
21402F	627C
214030	627E
214031	626F
214032	6284
214033	6295
214034	6291
214035	6298
214036	626E
214037	6273
214038	6293
214039	62C9
21403A	62C4
21403B	62CC
21403C	62A8
21403D	62DC
21403E	62BF
21403F	62C2
214040	62B9
214041	62D2
214042	62D3
214043	62DB
214044	62AB
214045	62CB
214046	62D4
214047	62BD
214048	62BC
214049	62D0
21404A	62C8
21404B	62D9
21404C	62DA
21404D	62AC
21404E	62C7
21404F	62B1
214050	62D6
214051	62D8
214052	62CD
214053	62B5
214054	62CE
214055	62D7
214056	62C6
214057	6309
214058	6316
214059	62FC
21405A	62F3
21405B	6308
21405C	62ED
21405D	6301
21405E	62EE
21405F	62EF
214060	62F7
214061	6307
214062	62F1
214063	62FD
214064	6311
214065	62EC
214066	62F4
214067	62FF
214069	6342
21406A	632A
21406B	6355
21406C	633E
21406D	632F
21406E	634E
21406F	634F
214070	6350
214071	6349
214073	632B
214074	6328
214075	633A
214076	63A5
214077	6369
214078	63A0
214079	6396
21407A	63A7
21407B	6372
21407C	6377
21407D	6383
21407E	636B
214121	6367
214122	6398
214123	639B
214124	63AA
214125	6371
214126	63A9
214127	638C
214128	6389
214129	63A2
21412A	6399
21412B	63A1
21412C	6388
21412D	63AC
21412E	633D
21412F	6392
214130	63A3
214131	6376
214132	638F
214133	63A8
214134	637B
214135	6368
214136	6384
214137	6380
214138	63C6
214139	63C9
21413A	63CD
21413B	63E1
21413C	63C0
21413D	63E9
21413E	63D0
21413F	63DA
214140	63D6
214141	63ED
214142	63EE
214143	63CF
214144	63E3
214145	63F4
214146	63DB
214147	63D2
214148	63EA
214149	641E
21414A	642A
21414B	643E
21414C	6413
21414D	640F
21414E	6414
21414F	640D
214150	642D
214151	643D
214152	6416
214153	6417
214154	641C
214155	6436
214156	642C
214157	6458
214158	6469
214159	6454
21415A	6452
21415B	646F
21415C	6478
21415D	6479
21415E	647A
21415F	645F
214160	6451
214161	6467
214162	649E
214163	64A4
214164	6487
214165	6488
214166	64A5
214167	64B0
214168	6493
214169	6495
21416A	6492
21416B	64A9
21416C	6491
21416D	64AE
21416E	64B2
21416F	64AD
214170	649A
214171	64AB
214172	64AC
214173	64C5
214174	64C1
214175	64D8
214176	64CA
214177	64BB
214178	64C2
214179	64BC
21417A	64CB
21417B	64CD
21417C	64DA
21417D	64C4
21417E	64C7
214221	64CE
214222	64D4
214223	64D2
214224	64BF
214225	64E0
214226	64F0
214227	64E6
214228	64EC
214229	64F1
21422A	64F4
21422B	64F2
21422C	6506
21422D	6500
21422E	64FE
21422F	64FB
214230	64FA
214231	650F
214232	6518
214233	6514
214234	6519
214235	651D
214236	651C
214237	6523
214238	6524
214239	652B
21423A	652A
21423B	652C
21423C	652F
21423D	6536
21423E	6539
21423F	653B
214240	653E
214241	653F
214242	6545
214243	6548
214244	654E
214245	6556
214246	6551
214247	6557
214248	655D
214249	6558
21424A	654F
21424B	6566
21424C	6562
21424D	6563
21424E	655E
21424F	5553
214250	656C
214251	6572
214252	6575
214253	6577
214254	6578
214255	6574
214256	6582
214257	6583
214258	6587
214259	6591
21425A	6590
21425C	6599
21425D	659C
21425E	659F
21425F	65A1
214260	65A4
214261	65A5
214262	65A7
214263	65AC
214264	65AF
214265	65B0
214266	65B7
214267	65B9
214269	65BD
21426A	65C1
21426B	65C5
21426C	65CE
21426D	65CB
21426E	65CC
21426F	65CF
214270	65D7
214271	65D6
214272	65E2
214273	65E5
214275	65E9
214276	65EC
214277	65ED
214278	65E8
214279	65F1
21427A	65FA
